,0,1,2,3,4,5
0,datetime,symbol,name,qty,price,%
1,2019-10-14,ADVANC,บริษัท  อินทัช โฮลดิ้งส์ จำกัด (มหาชน),"1,202,712,000",229.00,40.45
2,2019-10-14,ADVANC,SINGTEL STRATEGIC INVESTMENTS PTE LTD.,"693,359,000",229.00,23.32
3,2019-10-14,ADVANC,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"194,433,111",229.00,6.54
4,2019-10-14,ADVANC,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"104,875,677",229.00,3.53
5,2019-10-14,ADVANC,สำนักงานประกันสังคม,"83,327,800",229.00,2.80
6,2019-10-14,ADVANC,STATE STREET EUROPE LIMITED,"64,711,718",229.00,2.18
7,2019-10-14,ADVANC,GIC PRIVATE LIMITED,"20,431,500",229.00,0.69
8,2019-10-14,ADVANC,STATE STREET BANK AND TRUST COMPANY,"18,812,113",229.00,0.63
9,2019-10-14,AOT,กระทรวงการคลัง,"10,000,000,000",75.00,70.00
10,2019-10-14,AOT,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"641,028,434",75.00,4.49
11,2019-10-14,AOT,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"394,568,386",75.00,2.76
12,2019-10-14,AOT,STATE STREET EUROPE LIMITED,"238,587,771",75.00,1.67
13,2019-10-14,AOT,สำนักงานประกันสังคม,"165,071,600",75.00,1.16
14,2019-10-14,BANPU,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"510,308,177",12.30,9.89
15,2019-10-14,BANPU,บริษัท  น้ำตาลมิตรผล จำกัด,"288,309,528",12.30,5.59
16,2019-10-14,BANPU,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"134,984,597",12.30,2.62
17,2019-10-14,BANPU,นาย อิสระ ว่องกุศลกิจ,"118,508,880",12.30,2.30
18,2019-10-14,BANPU,สำนักงานประกันสังคม,"117,799,400",12.30,2.28
19,2019-10-14,BANPU,STATE STREET EUROPE LIMITED,"115,264,306",12.30,2.23
20,2019-10-14,BANPU,บริษัท  ทีเอ็มอี แคปิตอล จำกัด,"98,943,700",12.30,1.92
21,2019-10-14,BANPU,นาย กมล ว่องกุศลกิจ,"94,292,420",12.30,1.83
22,2019-10-14,BANPU,"CREDIT SUISSE AG, SINGAPORE BRANCH","73,601,950",12.30,1.43
23,2019-10-14,BANPU,THE BANK OF NEW YORK (NOMINEES) LIMITED,"73,183,144",12.30,1.42
24,2019-10-14,BBL,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"593,959,154",169.50,31.12
